,ServicingLenderName,idservicinglender,BorrowerState,CurrentApprovalAmount_Tatal,CurrentApprovalAmount_Count,Symbol
183,Manufacturers and Traders Trust Company,275,SC,5677769.5,35,0
184,Manufacturers and Traders Trust Company,275,AZ,5240545.5,16,0
185,Manufacturers and Traders Trust Company,275,KS,4490408.0,9,0
186,Manufacturers and Traders Trust Company,275,TN,2894642.0,4,0
187,Manufacturers and Traders Trust Company,275,WA,2645079.0,8,0
188,Manufacturers and Traders Trust Company,275,IN,2260566.5,7,0
189,Manufacturers and Traders Trust Company,275,KY,2232391.0,7,0
190,Manufacturers and Traders Trust Company,275,MN,1698330.0,7,0
191,Manufacturers and Traders Trust Company,275,SD,1269637.0,2,0
192,Manufacturers and Traders Trust Company,275,MI,1205235.5,12,0
193,Manufacturers and Traders Trust Company,275,WI,843762.0,3,0
194,Manufacturers and Traders Trust Company,275,NV,624280.0,9,0
195,Manufacturers and Traders Trust Company,275,MS,509604.0,2,0
196,Manufacturers and Traders Trust Company,275,LA,443348.0,2,0
197,Manufacturers and Traders Trust Company,275,NM,390447.0,7,0
198,Manufacturers and Traders Trust Company,275,AL,370000.0,1,0
199,Manufacturers and Traders Trust Company,275,AR,177501.0,1,0
200,Manufacturers and Traders Trust Company,275,IA,125345.0,2,0
201,Manufacturers and Traders Trust Company,275,UT,100792.0,1,0
202,Manufacturers and Traders Trust Company,275,MO,87292.0,3,0
203,Manufacturers and Traders Trust Company,275,NE,81125.0,1,0
204,Manufacturers and Traders Trust Company,275,OR,41664.0,2,0
205,Manufacturers and Traders Trust Company,275,ID,32028.5,2,0
206,Manufacturers and Traders Trust Company,275,HI,21684.0,2,0
207,Manufacturers and Traders Trust Company,275,WY,20833.0,1,0
208,Manufacturers and Traders Trust Company,275,OK,3300.0,1,0
209,Frost Bank,427,TX,4615777838.9,32194,CFR
210,Frost Bank,427,CA,14363300.0,50,CFR
211,Frost Bank,427,NV,9330200.0,25,CFR
212,Frost Bank,427,GA,4993300.0,10,CFR
213,Frost Bank,427,CO,4828100.0,36,CFR
214,Frost Bank,427,NM,4698200.0,17,CFR
215,Frost Bank,427,AZ,4436750.0,7,CFR
216,Frost Bank,427,FL,3421300.0,23,CFR
217,Frost Bank,427,OK,3025000.0,16,CFR
218,Frost Bank,427,VA,2658300.0,7,CFR
219,Frost Bank,427,WA,2281100.0,5,CFR
220,Frost Bank,427,PA,2228700.0,1,CFR
221,Frost Bank,427,MS,1597215.0,6,CFR
222,Frost Bank,427,WY,1461800.0,13,CFR
223,Frost Bank,427,NY,1364900.0,13,CFR
224,Frost Bank,427,AR,1353600.0,7,CFR
225,Frost Bank,427,OH,765300.0,1,CFR
226,Frost Bank,427,CT,694300.0,4,CFR
227,Frost Bank,427,TN,571800.0,12,CFR
228,Frost Bank,427,MI,462300.0,2,CFR
229,Frost Bank,427,NE,438300.0,2,CFR
230,Frost Bank,427,SC,372100.0,5,CFR
231,Frost Bank,427,IL,252200.0,7,CFR
232,Frost Bank,427,LA,227000.0,12,CFR
233,Frost Bank,427,NJ,214000.0,6,CFR
234,Frost Bank,427,IA,210200.0,2,CFR
235,Frost Bank,427,MN,186600.0,7,CFR
236,Frost Bank,427,IN,185200.0,3,CFR
237,Frost Bank,427,UT,118400.0,5,CFR
238,Frost Bank,427,VI,115000.0,2,CFR
